owner,total
2op4xPkDGeEsGU1g63uB6QZNfJ1XVwnZUULgwWdd5PVD,2
522FZam6iQ8P598sAcwmEWE5Nkv3WkLVic9XCia3VL5v,2
BWpaTjj5mpgSyzTTgwywCGkmK9bbGWFNJe7aE2zaLQhu,2
3q8XLsTFeqyDwyHCeyLVM81g2kE2QXBpqLzhZC3Sjjnx,2
ntoUyh1kncmiDbPoUi2DcTUuyns1bnNvx3FiNfoPuBf,2
CvtBc3WkVrvz37juXPtYPrqJYqHfY6CrABB2o6R3qSKZ,2
9QMesa7YZTGmqAPBpNVzycH8STxdekH2jr9cLFJqWv1f,2
8reKbeejfZPyGwNuarzCDHeQvc3VFW4yzrnWuQ2mD57N,2
HarLBseTmzFRTEL4DRrx2PZnMxMjoFDKJpxvfp56xZsF,2
FkwtMnVmHtkkKFxE3tjqLZ2zHEoNJ92nci5cAFcsRunm,2
A4JJx4BrVeb4b4XVnX9dnTvdeVwyTUxmSg1n8LsLNhsW,2
2BNKXsGYp5GH9RanhLvUQxEbb4DQM8RcVkTKMhZ3S1uo,2
CNejTrfsdmkV5X5z9KYgHfrsM8Nv4cMS5CeVQ58cM2gX,2
GLuMJkbKfQBkoHjddA5frBUo8ShkixeX3BUZawf34sEh,2
B8yS1UMHWBHWauZDiJbLBUtkrQCbxG3seUVehrdTvJmg,2
4WoNPTWZvCTyhTX11ba8Ye1WhpPiKtjUuGWpi2xQLBth,2
7kYgNSAaz9HWorSaYBCe1iCPur7d6H5qxy46tUSNKZT6,2
8yyS63aWjCPr6S3ps5V3bFa1RcWQGoundCnHrHkjiQ3y,2
9MEDh98mZComr1xab3TUPXXgTV9SqLbECa4oTcnBDJSX,2
GMmLHxWeRPSTiiFRJxbXBBohbQgG4D6XGpw3fY5rcedX,2
4ybgJFHP7fac2ooMRd4edVDuXDoaGGCnsGzyoUKatbeg,2
5MRHbuNLM9R5UDgG9nAWMeeRsBC78V2iCd61occ5prwm,2
2d65EmQoiKVf9okq79XCVJfyWhk9McHePf1bmH9mRF2a,2
5DxrzqVoTKPJXiABxRJwvsUBrWdk9XacqQdMjLw9LWv8,2
D8EV7QJnTucdtrovjeHxfidGNb9oKgwZQHNErp2uvtKB,2
3XERxdhF7CE42XR8su3zvrCZBFwWWZrtWqsvBwHutwXV,2
FU7S3Gt4JY3r8xHy7R9SLr6PLmCbedKLGkG4dNLdpBiB,2
66Z7LrwBYiG9akjQNUZxPHLXRQgdpcmSNhqvrnX23fA,2
9syYeetFZFr4h28TWA1kpeYUm2nJcZH1gLUuCuZVhC2m,2
ASLBbCPt4MR1LySd68N49W3395U3DtrisSeBCRFoWxJe,2
5Nj4diJyDCeb7dNwXxCQVpChEC5Y37kcCmjtWezKDbce,2
4AULnQ2PuBu5RN3n1HxuhUpsjwxCJ7Rm6YYkk6tYBGQV,1
58xjmVRxEZ7xDHrcknwr8zHHMHG8Xf9vywZvenRZUBXF,1
B22Wmi3EgMDAqXjvQYawgXcP4xLA1jnFs4bCEfSxSrrq,1
DydShXss2HWha9JXYfpGGZr5JKmCeNtYWrJ6akZWwjgx,1
FaHR3qyVFagfPVSusrxUvgY4CgQMie59xQq1fx3Tutbp,1
5hXcxm7eNN8fjYxWCMz9Awg5iS5Y4Umg45XV97YCM2Gu,1
7RVvEJnaKcNShTTeqP81mxdjC32DKbFT8BsWMLgywHgG,1
GXQp6yJpmuXdjBAxAm283xEXBEd2WjHfgPzYop5DtCVp,1
cACEdxQF6BnG3iBYJwWRgCPpdKCdsR8VhuNmcaTZdDP,1
EydzF8YpSxwpsqAL5QdwPZYjW3wPU1Jg4xpEeDXvuYbK,1
D7e3oHKskUvh1b7zwHHZes6B5jx2YAdNowAoTvUg7X8D,1
GrhkCZgp14TA5eBrY3MVebKunp3pRa4fbYu8zLTsdYkk,1
ErQbaunqcLSG1dZKm1xYzUrcV5zwC8Qu34W1qwH3Ubkv,1
DrJsnPPmvvT886bSwj4hvNr1G2YMqp8bFqHCpTcVjAjC,1
A6YoN8adbKqBfFKDnFJvoWN7hufgNjjEqbXrfnENKAxj,1
BBQYXEZxNQQfGYZZvh82Fnh6RvKMYYDUDjTP2sF2jHbZ,1
FKpaYQvhZk8BQ5JP5QTx5CJW82frxHgRSQQJuJXY3xmy,1
7RTL8oMRVUsF5FFMyEiQG71pKWT1a1WnfbEPGNZfFqwT,1
CUb2X51niPDbrmG9e5uQNPqJ3iSyEPtcY1pizHWdK5mg,1
HKVDzUg5LUhjBF69WrMaWVycJSZXcuFQTfgPKYUSbuDY,1
7REqj1AMwSK6h2zfztEU9keozMoJvbHyLimr1P6XoNqG,1
6ixRbjWYrvLY2MbVqVLCfJGR1PrWX4HbUrjCA4ZBgxDb,1
CZfD1ivmfrQM3cAExL3UC2FmzoYDwZqTHPzNKzhQxAEQ,1
DurjwbmC8RZ3n8ym7uTxiErio8sBgeiXzsuNjiNHBEKx,1
CoiWPQ4z95AKYMtavhGVGtb1aZjAFQv86L9UhG18JjdB,1
CDvae4QUKXWNpw1YGLCtcqB9wdQZRB1sNPfG5itnNrYH,1
5PyWdJFCrkBxDEVf2vk3RxrPZbvfb8sHPsJdyX2YmBWm,1
5FkGmNJ8ZeeDmcs71dY3hB1d9qfqKduRZTXt66R1rnSe,1
HsWMqVKTxPEGdKL3Wk97Z6GCYkEuSvznHbsRvMNekLbe,1
CmWNgyTCMhjkNhPGmzgr3VTkS1XkGqeys6WDGPFbi5zh,1
6hktT6o3KnRMptKfZCkihSVMNYPBo6AZJFU5uqeqVSMA,1
5pHAJ3vDzcaAn3Grhc2B3RCEt8oBoaxCx7ifdy5Ute7W,1
8CNgLNfCscZEpFY436E6zQpQM5MyQw5Ttekg6Q8vW873,1
GRqv7y5n92vQ7bXcBqUng4vaau6w1tQeou953s8kJNwD,1
687nhg2iQ42Xdn13wJJg4UWGM4jEBULgzDEDyeZqjkpT,1
CKcsLK4CFWuENCWCQeC7AVu2tZ6gWc6j8bHTLPmygkpo,1
4W2nubYVQxaE1Je1zS4oq7WfyS1wDxXutoo4YDxv46Fs,1
hRUcFDrWbBpU5kJZ2pvaNCRcXh5bqxqR7hmGTZVLudN,1
3mBQ7r1BFJ1Xya9JxxgQZbnjbmDfrt6KkAHtzXJNMVDy,1
71UFhPkdHb8CJbt1q3TxYNTsFSTBHkv8h5d1DxVp88zh,1
843GTTAjorwPNjKNgQLpDud3siitMfeXa798NfBdjcV3,1
8nX5n46NULeHKhDfw1Bhr3YufucsqXrvSEmiizjnyk2R,1
Pig538C3RWZrJseF6iveuB7PRP5RkRXD32cgndY78dB,1
HHL6a7zEBwoR8W6AjNqHpAevSfc8ec6PzrWH1gmxEjVQ,1
2S67bvNfwK81Uq7mj8RRa44tL8dfA5qoNrkuPKcTWzKY,1
7WoXXPYNRYrCcETCURneG1rnNibQPSaPCaauTkRcxVh8,1
HXxoXYye2KxzHrVvYUHWzSpt9WcXPpWxWj7yrsiYA7F1,1
Ew1BtU2DWoFCbYnGH43iKSVWfRJSWEyP1mDyxzLcNKN7,1
2urrA49QHdj5dqzn4taPZLYfhFNoPRWrzq71RdvCg5Y2,1
